Month,TotalAttendances,CovidPeriod,DateFormatted,Female,Male,UnknownSex,18-24,25-39,40-64,65-74,75 plus,Under 18,UnknownAge,SIMD1,SIMD2,SIMD3,SIMD4,SIMD5,UnknownSIMD,ED,MIU,S08000015,S08000016,S08000017,S08000019,S08000020,S08000022,S08000024,S08000025,S08000026,S08000028,S08000029,S08000030,S08000031,S08000032
201811,128697,4,2018-11-01,0.47945173547168934,0.5009052270060685,0.019643037522242165,0.09796654156662549,0.17351608817610356,0.2591746505357545,0.08690179258257769,0.12377133888124821,0.23902655073544837,0.019643037522242165,0.27420996604427456,0.21891730187960867,0.1757072814440119,0.1566780888443398,0.14389612811487448,0.03059123367289059,0.8774718913416785,0.12252810865832148,0.07049115363994499,0.01899811184409893,0.02833787889383591,0.05279066334102582,0.06257333115768045,0.03589050249811573,0.18146499141394126,0.004040498224511838,0.005299268825225141,0.004879678624987374,0.0579500687661717,0.0655182327482381,0.28031733451440205,0.1314482855078207
201812,131081,4,2018-12-01,0.4869126723171169,0.4917722629519152,0.021315064730967875,0.09043263325729892,0.17312196275585326,0.2699170741755098,0.0977639779983369,0.13834957011313614,0.2090997169688971,0.021315064730967875,0.2732585195413523,0.21956652756692427,0.17650918134588536,0.1555297869256414,0.14285823269581405,0.03227775192438263,0.884918485516589,0.11508151448341102,0.0709408686232177,0.0187975374005386,0.029500842990212158,0.052967249258092326,0.06415117370175692,0.03764847689596509,0.18002609073778808,0.004081445823574737,0.004951137083177577,0.005286807393901481,0.05664436493465872,0.06435715321061024,0.28065089524797643,0.12999595669852992
201901,131960,4,2019-01-01,0.48591997575022733,0.4969612003637466,0.017118823886026067,0.0923992118823886,0.179531676265535,0.2704228554107305,0.09168687481054866,0.13373749621097303,0.21510306153379813,0.017118823886026067,0.28041073052440135,0.22191573204001216,0.17394665050015157,0.15501667171870265,0.14021673234313428,0.028493482873598062,0.8791073052440134,0.12089269475598664,0.07025613822370415,0.019513488936041226,0.02807668990603213,0.05241739921188239,0.06241285237950894,0.03635192482570476,0.17873598060018187,0.003940588056986966,0.004736283722340103,0.004849954531676266,0.05605486511063959,0.06342073355562292,0.28354046680812367,0.13569263413155502
201902,123398,4,2019-02-01,0.48185545956984716,0.4991896140942316,0.018954926335921166,0.09607935298789283,0.17661550430314915,0.26744355662166325,0.08864811423199728,0.12465356002528404,0.22760498549409228,0.018954926335921166,0.2755798311155772,0.21974424220813948,0.17293635229096097,0.15569134021621095,0.14265223099239857,0.03339600317671275,0.8736770450088333,0.1263229549911668,0.06891521742653851,0.018760433718536768,0.02960339713771698,0.05138657028476961,0.0655359081994846,0.03659702750449764,0.17943564725522293,0.004051929528841635,0.004991977179532894,0.004927146307071428,0.057707580349762554,0.06632198252807987,0.27886189403393896,0.1329032885460056
201903,137182,4,2019-03-01,0.4780802146054148,0.49847647650566396,0.023443308888921287,0.09534049656660495,0.17706404630345088,0.2570526745491391,0.08862678777099037,0.12130600224519252,0.2371666836757009,0.023443308888921287,0.2758962546106632,0.21690892391130032,0.17275590091994578,0.1557128486244551,0.1441953025907189,0.03453076934291671,0.8727165371550203,0.12728346284497966,0.07127757285941304,0.01866134040909157,0.02736510620926944,0.054037701739295244,0.06433059730868482,0.03698735985770728,0.17691825458150487,0.00402385152571037,0.004869443512997332,0.005219343645667799,0.05781370733769737,0.06763277981076235,0.2789943287020163,0.13186861250018225
201904,137544,4,2019-04-01,0.479126679462572,0.4987494910719478,0.022123829465480138,0.09460245448729133,0.17810300703774792,0.2698336532309661,0.09027656604432037,0.12782091548886174,0.2172395742453324,0.022123829465480138,0.2741450008724481,0.2206275809922643,0.17317367533298436,0.15520851509335196,0.14015151515151514,0.03669371255743616,0.8709867387890421,0.12901326121095794,0.07144622811609376,0.020168091665212586,0.030390275111964172,0.05468795440004653,0.06323067527482115,0.04012534170883499,0.1720176816146106,0.004115046821380795,0.0047184900831733845,0.005394637352410865,0.058628511603559585,0.0673093700924795,0.2745376025126505,0.1332300936427616
201905,142439,4,2019-05-01,0.478766349103827,0.4964791946026018,0.024754456293571283,0.09116183067839566,0.17857468811210414,0.26522932623789836,0.08847296035495897,0.12393375409824557,0.22787298422482608,0.024754456293571283,0.27157590266710663,0.22061373640646167,0.1749871874978061,0.1551471156073828,0.13910516080567822,0.038570897015564556,0.8703585394449553,0.1296414605550446,0.07146216977091949,0.019819010242981206,0.03049024494695975,0.05479538609510036,0.06255309290292686,0.04081045219357058,0.17112588546676122,0.004135103447791686,0.004788014518495636,0.005497089982378422,0.05940788688491214,0.06720771698762278,0.27460175934961634,0.13330618720996357
201906,139376,4,2019-06-01,0.47412753989209044,0.4989452990471817,0.026927161060727817,0.08715991275398921,0.17923458845138332,0.2670402364826082,0.08921191596831592,0.12245293307312594,0.22797325220984963,0.026927161060727817,0.2683388818734933,0.21576168063368156,0.17578349213637928,0.15677735047640914,0.14228418092067502,0.04105441395936173,0.8719219951785099,0.12807800482149007,0.07131787395247388,0.020240213523131673,0.029639249225117667,0.05539691195040753,0.06503989209046034,0.04181494661921708,0.1719521294914476,0.004261852829755481,0.005036735162438297,0.00553897371139938,0.05742021581907932,0.07089455860406382,0.2719119504075307,0.1295344966134772
201907,141769,4,2019-07-01,0.4734532937384054,0.49534806622040084,0.03119864004119377,0.0945834420783105,0.18843329641882217,0.2775712602896261,0.09522533134888446,0.12789114686567585,0.1850968829574872,0.031198640041193774,0.2715896987352665,0.21785439694150344,0.17467852633509443,0.15340448193892883,0.13429593211491933,0.04817696393428747,0.8676297356968026,0.13237026430319745,0.06975431864511988,0.020420543278149666,0.03096586700900761,0.0546946088355,0.06573369354372254,0.04385302851822331,0.1684641917485487,0.004775374023940354,0.004951717230141992,0.006186119673553456,0.05951935895717682,0.07145426715290366,0.2688951745445055,0.13033173683950652
201908,143881,4,2019-08-01,0.4737387146322309,0.4903983152744282,0.03586297009334102,0.09085980775779985,0.183290358004184,0.27385825786587525,0.08966437542135515,0.12397050340211703,0.20249372745532768,0.03586297009334102,0.266921970239295,0.21543497751614182,0.17093987392358964,0.15362000542114665,0.13917056456377144,0.05391260833605549,0.8663061835822659,0.1336938164177341,0.06775738283720574,0.020225047087523717,0.03249907910008966,0.05590731229279752,0.06326061119953295,0.042695004899882545,0.17361569630458504,0.004524572389683141,0.0052682425059597865,0.005560150402068376,0.05915305009000493,0.06977293735795553,0.2691460304001223,0.13061488313258873
