Month,TotalAttendances,CovidPeriod,Female,Male,UnknownSex,18-24,25-39,40-64,65-74,75 plus,Under 18,UnknownAge,SIMD1,SIMD2,SIMD3,SIMD4,SIMD5,UnknownSIMD,ED,MIU,S08000015,S08000016,S08000017,S08000019,S08000020,S08000022,S08000024,S08000025,S08000026,S08000028,S08000029,S08000030,S08000031,S08000032,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,sin_month,cos_month,Time
201906,139376,1,0.47412753989209044,0.49894529904718166,0.026927161060727817,0.08715991275398921,0.17923458845138332,0.2670402364826082,0.08921191596831592,0.12245293307312594,0.22797325220984963,0.026927161060727817,0.2683388818734933,0.21576168063368156,0.17578349213637928,0.15677735047640914,0.14228418092067502,0.04105441395936173,0.8719219951785098,0.12807800482149007,0.07131787395247388,0.020240213523131673,0.029639249225117667,0.05539691195040753,0.06503989209046034,0.04181494661921708,0.1719521294914476,0.004261852829755481,0.005036735162438297,0.00553897371139938,0.05742021581907932,0.07089455860406382,0.2719119504075307,0.1295344966134772,0.13019458156354036,0.14892807943978878,0.15769572953736655,0.16902479623464586,0.12972104236023418,0.13576942945700837,0.12866634140741592,1.2246467991473532e-16,-1.0,516
201907,141769,1,0.47345329373840545,0.4953480662204008,0.03119864004119377,0.0945834420783105,0.18843329641882217,0.2775712602896261,0.09522533134888446,0.12789114686567585,0.1850968829574872,0.031198640041193774,0.2715896987352665,0.21785439694150344,0.17467852633509443,0.15340448193892883,0.13429593211491933,0.04817696393428747,0.8676297356968027,0.13237026430319745,0.06975431864511988,0.020420543278149666,0.03096586700900761,0.0546946088355,0.06573369354372254,0.04385302851822331,0.1684641917485487,0.004775374023940354,0.004951717230141992,0.006186119673553456,0.05951935895717682,0.07145426715290366,0.2688951745445055,0.13033173683950652,0.12192369276781242,0.18107625785608983,0.12093617081308325,0.13079022917563077,0.12260085067962671,0.1635900655291354,0.15908273317862157,-0.4999999999999998,-0.8660254037844388,546
201908,143881,1,0.47373871463223083,0.4903983152744282,0.03586297009334102,0.09085980775779984,0.183290358004184,0.27385825786587525,0.08966437542135515,0.12397050340211703,0.2024937274553277,0.03586297009334102,0.266921970239295,0.21543497751614182,0.17093987392358964,0.15362000542114665,0.13917056456377144,0.05391260833605549,0.8663061835822659,0.1336938164177341,0.06775738283720574,0.020225047087523717,0.03249907910008966,0.05590731229279752,0.06326061119953295,0.042695004899882545,0.17361569630458504,0.004524572389683141,0.005268242505959786,0.005560150402068376,0.05915305009000493,0.06977293735795553,0.2691460304001223,0.13061488313258873,0.15462778268152153,0.14688527324664133,0.15407871782931729,0.13173386340100499,0.15498919245765597,0.13219257580917565,0.12549259457468326,-0.8660254037844384,-0.5000000000000004,577
201909,142738,1,0.47574577197382617,0.49717664532219874,0.027077582703975114,0.09486611834269781,0.17568552172511875,0.25817932155417617,0.0875520183833317,0.12164244980313582,0.23499698748756462,0.027077582703975117,0.26966189802295115,0.21325085120990905,0.17370987403494514,0.1578276282419538,0.14287715955106559,0.04267258893917527,0.8726337765696591,0.1273662234303409,0.06839804396866987,0.019259062057756172,0.03034230548277263,0.05638302344155025,0.06515433871849122,0.039919292690103546,0.17526517115274134,0.004301587523995012,0.004427692695708221,0.005345458112065463,0.05839370034608864,0.06900054645574409,0.2742086900474996,0.12960108730681388,0.12686180274348807,0.18459695385951883,0.12435371099496982,0.16676007790497271,0.1302035897938881,0.1341268618027435,0.13309700290041895,-1.0,-1.8369701987210297e-16,608
201910,138850,1,0.47813467770975876,0.4968815268275117,0.024983795462729563,0.09546993158084263,0.17688872884407633,0.2656679870363702,0.09262513503781059,0.13058696435001801,0.21377745768815268,0.024983795462729563,0.2694490457328052,0.21925819229384227,0.17619013323730645,0.15471371984155563,0.13971912135397913,0.04066978754051134,0.8756931940943464,0.12430680590565359,0.06825351098307526,0.01947425279078142,0.030522146200936257,0.055743608210298876,0.06437882607129997,0.03747929420237667,0.17899171768095068,0.00409074540871444,0.004234785740007202,0.005106229744328412,0.055066618653222904,0.06530788620813828,0.278069859560677,0.13328051854519266,0.12377385667987037,0.14604249189773136,0.12022326251350378,0.12843356139719123,0.15403673028447964,0.16600648181490818,0.16148361541231546,-0.8660254037844386,0.5000000000000001,638
201911,135214,1,0.48299732276243584,0.4923010930820773,0.024701584155486858,0.0913884656914225,0.16919845578120607,0.2547813096277013,0.08827488277841052,0.12974248228733712,0.24191281967843567,0.024701584155486858,0.27174700844587096,0.21800257369798987,0.17402783735412014,0.1559453902702383,0.1413611016610706,0.03891608857071013,0.8804857485171654,0.11951425148283462,0.06836570177644327,0.019672519117842825,0.02907982901178872,0.054136405993462214,0.06588814767701569,0.035950419335275936,0.18044729096099515,0.00400106497847856,0.004356057804665197,0.004873755676187377,0.05680624787374088,0.06281893886727706,0.28370582927803334,0.12989779164879375,0.1628825417486355,0.15037644030943542,0.1519073468723653,0.13331459760084016,0.13077787803038146,0.13579215170026773,0.13494904373807445,-0.5000000000000004,0.8660254037844384,669
201912,134185,1,0.48787867496366955,0.4870365540112531,0.025084771025077317,0.08587397995304989,0.16909490628609755,0.26443343145657117,0.09891567611879122,0.14265379885978313,0.21394343630062973,0.025084771025077317,0.26967246711629467,0.21851920855535267,0.17512389611357454,0.15586690017513136,0.14107389052427619,0.03974363751537057,0.8838543801468123,0.11614561985318776,0.06848753586466445,0.020359950814174462,0.03145657115176808,0.053605097440101356,0.06905391809814808,0.038767373402392225,0.17571263554048516,0.004471438685397027,0.004553415061295972,0.0051421544882065805,0.05677236650892425,0.06517121883966166,0.27509781272124306,0.13134851138353765,0.12867310057010845,0.1842307262361665,0.12778626523083803,0.16323732160822746,0.12596788016544322,0.15331072772664606,0.11679397846257034,-2.4492935982947064e-16,1.0,699
202001,131968,1,0.48940652279340446,0.4905431619786615,0.020050315227934046,0.09124939379243453,0.17883123181377306,0.27087627303588746,0.09477297526673133,0.1382607904946654,0.20595902036857416,0.020050315227934046,0.2746878031037827,0.22004576867119302,0.1723296556741028,0.15687894034917554,0.14068562075654703,0.03537221144519884,0.8709308317167799,0.12906916828322018,0.06683438409311349,0.020095780795344326,0.028817592143549953,0.05473296556741028,0.06647065955383123,0.037130213385063046,0.17809620514064015,0.004432892822502425,0.004448048011639185,0.0051224539282250245,0.05785493452958293,0.06451564015518914,0.2788100145489816,0.13263821532492726,0.1606071168768186,0.1413903370514064,0.12149157371483996,0.12659129485935985,0.1619331959262852,0.129902703685742,0.158083777885548,0.49999999999999994,0.8660254037844387,730
202002,122010,1,0.4872387509220556,0.4892631751495779,0.023498073928366527,0.09450045078272273,0.18172280960577003,0.2669863125973281,0.09247602655520039,0.12976805179903286,0.2110482747315794,0.023498073928366527,0.27038767314154577,0.21760511433489058,0.1737562494877469,0.15599541021227767,0.14310302434226702,0.03915252848127203,0.8730431931808869,0.1269568068191132,0.06554380788459963,0.018883698057536265,0.02998114908614048,0.05552823539054176,0.06592082616179001,0.03744775018441111,0.17853454634865992,0.004606179821326122,0.004843865256946152,0.0044586509302516186,0.059003360380296695,0.06615031554790592,0.2768625522498156,0.1322350626997787,0.1332431767887878,0.15062699778706667,0.15870010654864355,0.13865256946151955,0.13914433243176788,0.14018523071879355,0.13944758626342102,0.8660254037844386,0.5000000000000001,761
202003,96406,1,0.47918179366429475,0.5014314461755492,0.019386760160156006,0.0901396178661079,0.18467730224259904,0.26892517063253324,0.09170591042051325,0.13538576437151215,0.20977947430657842,0.019386760160156006,0.27157023421778725,0.21980997033379665,0.17626496276165385,0.15782212725349046,0.1391407173827355,0.035391988050536276,0.8778602991515051,0.12213970084849492,0.07170715515631808,0.019666825716241728,0.03188598220027799,0.05827438126257701,0.07101217766529054,0.03816152521627285,0.18323548326867622,0.004304711325021264,0.004678132066468892,0.004792232848577889,0.05933240669667863,0.06458104267369251,0.2575254652200071,0.13084247868389934,0.1231251166939817,0.1818766466817418,0.11627906976744186,0.16420139825322075,0.12464991805489285,0.15745907931041636,0.13240877123830466,1.0,6.123233995736766e-17,790
202004,62876,4,0.4901393218398117,0.4980278643679623,0.011832813792225968,0.06896112984286533,0.18164323430243653,0.31191551625421465,0.10969209237228832,0.15929766524588077,0.1566575481900884,0.011832813792225968,0.27253642089191427,0.22838602964565177,0.1779216235129461,0.15694382594312614,0.13679305299319294,0.027419047013168777,0.9085024492652204,0.09149755073477957,0.08449965010496852,0.02376105350213118,0.03347859278580062,0.059132260321903427,0.0716648641771105,0.03646860487308354,0.19053374896621922,0.0037534194287168394,0.005598320503848845,0.004389592213245117,0.05386793052993192,0.0574623067625167,0.2277816655003499,0.1476079903301737,0.12946116165150454,0.14670144411222089,0.12534194287168396,0.12855461543355176,0.16492779438895605,0.13699980914816465,0.1680132323939182,0.8660254037844387,-0.49999999999999983,821
