HB,Year,NumberOfAttendancesAll,PercentageWithin4HoursAll,AllAges,attendanceperpop,attendanceper1000pop,HBName
S08000017,2021,38497,87.075,148790,0.021561148822725543,21.561148822725542,NHS Dumfries and Galloway
S08000017,2020,38259,93.67805555555556,148290,0.02150010115314586,21.500101153145863,NHS Dumfries and Galloway
S08000017,2007,24425,99.3,150370,0.02707211101505176,27.07211101505176,NHS Dumfries and Galloway
S08000017,2008,48662,99.3625,151010,0.026853630002428096,26.853630002428098,NHS Dumfries and Galloway
S08000017,2022,45969,82.29166666666667,145770,0.026279412773547367,26.279412773547367,NHS Dumfries and Galloway
S08000017,2011,46864,98.80972222222222,151410,0.02579310041168571,25.79310041168571,NHS Dumfries and Galloway
S08000017,2013,47148,98.53027777777778,150280,0.026144530210274155,26.144530210274155,NHS Dumfries and Galloway
S08000017,2014,47730,98.97638888888889,149960,0.026523739663910376,26.523739663910376,NHS Dumfries and Galloway
S08000017,2010,49666,98.73611111111111,151100,0.027391352305316568,27.391352305316566,NHS Dumfries and Galloway
S08000017,2017,50182,97.72277777777778,149200,0.028028373547810546,28.028373547810546,NHS Dumfries and Galloway
S08000017,2019,50347,96.84166666666667,148860,0.028184759729499752,28.184759729499753,NHS Dumfries and Galloway
S08000017,2012,47499,98.39861111111111,150840,0.02624138159639353,26.24138159639353,NHS Dumfries and Galloway
S08000017,2016,49542,98.51666666666667,149520,0.027611690743713217,27.611690743713215,NHS Dumfries and Galloway
S08000017,2009,50438,99.08027777777778,151160,0.02780607744553233,27.806077445532328,NHS Dumfries and Galloway
S08000017,2018,47214,97.13972222222222,148790,0.02644330936218832,26.44330936218832,NHS Dumfries and Galloway
S08000017,2015,46688,98.89861111111111,149670,0.02599496670452774,25.994966704527737,NHS Dumfries and Galloway
S08000019,2021,74713,84.77916666666667,305710,0.020365978650791056,20.365978650791057,NHS Forth Valley
S08000019,2007,34969,97.79166666666666,291350,0.02000400434757737,20.00400434757737,NHS Forth Valley
